,number,geo_point_2d.lat,geo_point_2d.lon,station,mae,rmse,r2
0,1,39.48004223020643,-0.3829292797331582,1,0.0899310357380122,0.10108191544181057,-11.261064355262409
1,2,39.47988935334888,-0.3797483936090024,2,0.08258057970535722,0.09486731692081814,-0.37544232717009574
2,3,39.4768353435743,-0.3802883976424855,3,0.03411564910280968,0.05289441267196221,-0.31019811523676233
3,4,39.47674734083149,-0.375342380894589,4,0.12412248738076097,0.14200765849933894,-29.761961974946406
4,5,39.476895339123786,-0.3711403661399108,5,0.12051926191306912,0.1384069085626729,-2.103348518735927
5,6,39.47279833147815,-0.3840834139387113,6,0.31313623056142853,0.3442621211096422,-7.20498209444761
6,7,39.47487233593648,-0.3791853952972924,7,0.08294611764540762,0.1001414076252361,-0.21801688382283602
7,8,39.47388122366064,-0.3752982847143531,8,0.1509394525186424,0.17063336586360472,-0.9860003277653608
8,9,39.47435533016869,-0.3699303648826442,9,0.30001174290223276,0.32292698652371027,0.0
9,10,39.470816323984536,-0.3826104109763401,10,0.16814445201106,0.20251197290040365,-7.517689827202878
10,11,39.47118632283677,-0.3767843903416451,11,0.1468435683631261,0.19677734210887607,-3.8622123646455906
11,12,39.47196722343732,-0.3740102862977963,12,0.24537045975519664,0.26982671321627255,-15.707776165376757
12,13,39.4720623227334,-0.3708743696408533,13,0.3456906781745818,0.3864644199592492,-9.462905582226645
13,14,39.46896731649349,-0.3797244022229544,14,0.151983181706713,0.1732423971155558,-2.2556396646339185
14,15,39.46908831533384,-0.3756373880434071,15,0.1312935498314145,0.1706837696224382,-12.935595568143242
15,16,39.470092316192336,-0.3704333693720587,16,0.22796185225978083,0.24896845232928763,-20.770443406718723
16,17,39.46746831099193,-0.3772593951806123,17,0.2625230224734547,0.28373039016409946,-23.900191612473265
17,18,39.468191311513856,-0.3731293798737345,18,0.27492264180674775,0.2953772604216072,-105.42169681179239
18,19,39.47436934054566,-0.391590438798602,19,0.05285424508792328,0.06721935042257994,-3.1827854487991107
19,20,39.47503434099054,-0.3878474253260651,20,0.1594467723538888,0.16968860064731434,-8.920281962009593
20,21,39.4723713328859,-0.3902144354049112,21,0.11362798106758788,0.12245057360978424,-49.249462428871865
21,22,39.46978732404922,-0.3883534313205414,22,0.10668179294822559,0.11820454016434853,-2.2335925101504914
22,23,39.47162832874852,-0.3861784216967592,23,0.16345767275196174,0.20430220108019767,-26.122255210165577
23,24,39.469077319212495,-0.3840274173384119,24,0.0330067927909617,0.04538747306492432,-1.326613885612308
24,25,39.46772931656263,-0.3886104333408022,25,0.18773056415353861,0.20216919562187194,-24.312965020828283
25,26,39.46633523268935,-0.3858642993911739,26,0.1439683902347072,0.1522670353250229,-8.390026268902073
26,27,39.4633622993056,-0.3818514137102655,27,0.04036753358547962,0.05233582475786613,-2.5856504694944946
27,28,39.47158231958138,-0.3677513588006829,28,0.1483075283980201,0.173733482737108,-4.055769227516264
28,29,39.47011231364647,-0.3652993525279599,29,0.23497749895526046,0.25292831713218783,-17.15186924030376
29,30,39.46860130988493,-0.3684993636557958,30,0.31438904409452695,0.3482841376119579,-38.03344141618585
30,31,39.467365304622646,-0.3650283531086902,31,0.18461232071256858,0.21045436881076776,-1.3494137689983519
31,32,39.46600630156446,-0.3682473649948816,32,0.17659937258787872,0.2475972443613668,-0.012366162822167404
32,33,39.46481830023885,-0.3739903856231028,33,0.09733001581535627,0.11059556068509101,-1.985285488521948
33,34,39.46412229654908,-0.3699613729909211,34,0.18180971565410095,0.19817605722490692,-3.50252442351084
34,35,39.46374929341137,-0.3669943634005945,35,0.11637286126719874,0.13880504691824147,-0.7232454106810133
35,36,39.47907234886095,-0.3754363798581042,36,0.08835307672275654,0.11355843849848019,-0.6675240026999703
36,37,39.460937800028375,-0.3664406250017559,37,0.12403036998895627,0.133276359531968,-1.0179981644604283
37,38,39.45940204927687,-0.3702493773693626,38,0.17409661876003438,0.19518883254982936,-0.783811045390399
38,39,39.457854277261184,-0.3739313916673185,39,0.07027558103781646,0.07815949673852848,-0.7741084797260105
39,40,39.47046631970196,-0.3748243837183276,40,0.14338866684907978,0.1628056281223506,-72.71909110122847
40,41,39.458912276426375,-0.3647763590897919,41,0.11290513798730323,0.12401158962596365,-3.3636609025899737
41,42,39.45878127329601,-0.3586583378805894,42,0.3102299994595331,0.35422042363518036,-23.171215554409734
42,43,39.459477276259406,-0.3611533458364356,43,0.1566940156539838,0.1886164906538957,-3.242625257730123
43,44,39.45642926768604,-0.3630143545257616,44,0.27697861832859566,0.3195667099709972,-6.806993976784997
44,45,39.45381925759081,-0.3618553529234309,45,0.11054224329622765,0.12143352709511668,-0.7894145643799184
45,46,39.455509261762266,-0.3587873408716088,46,0.11711740694781035,0.136618862801046,0.2755475016389899
46,47,39.45651226440267,-0.3554183288036281,47,0.1583497334586911,0.18228916251996713,-0.2567366469340153
47,48,39.450807354184086,-0.3585527382322896,48,0.10444651415411754,0.14300662722313182,0.14079389004173526
48,49,39.45298693239739,-0.3571104198826364,49,0.1296102900420865,0.14901110470308965,-11.185291702653426
49,50,39.453318252515686,-0.3528593228128155,50,0.11180327471609681,0.1369061657866919,-9.380903635305756
50,51,39.45218324552497,-0.3472273049060467,51,0.18526645151014676,0.20483645767848627,-4.880241666934231
51,52,39.45603425797373,-0.3463402980947426,52,0.21495268226158007,0.2504559408036815,-8.239829861779292
52,53,39.45676426141678,-0.3481393040048007,53,0.10797780186153227,0.11990924370009094,-9.109690665824237
53,54,39.459778273617445,-0.3526903171951741,54,0.19223438941786386,0.23959848176437284,-17.787886988150287
54,55,39.45934326975421,-0.3486863041159564,55,0.3283748510540309,0.38312023734050044,-11.85048683208728
55,56,39.45842126509135,-0.3444052893928658,56,0.25705570328483646,0.3013389893749884,-1.2562024870922355
56,57,39.46447629179199,-0.3582563324315247,57,0.33780500868693525,0.3892507945448267,-11.539270156174803
57,58,39.46621830848607,-0.3815864106638383,58,0.10177403548844273,0.12077561013980953,-1.4424322240332912
58,59,39.46308828566762,-0.3545493213542055,59,0.11166431897161039,0.1414932529165028,0.27605018290519334
59,60,39.46223128102797,-0.3517763125261459,60,0.07946811619178108,0.09533009475613012,-3.415155112257972
60,61,39.46129327599964,-0.3478302988674309,61,0.12662705959564904,0.15852051339294151,-3.3077862570905854
61,62,39.45981126842254,-0.3421522812931475,62,0.12816273414035795,0.15385361906085857,-3.2211947964456025
62,63,39.46777930285978,-0.358414330727018,63,0.2029312577591044,0.23968412353815813,-5.9517487285552315
63,64,39.46651829706714,-0.3541953172495928,64,0.10946860713967775,0.14076487603062648,-3.547129954811381
64,65,39.465516292011046,-0.3508373061951808,65,0.0396394754167231,0.05197633927485254,0.09395582405130576
65,66,39.46427128532339,-0.3462612916525901,66,0.15497485924579163,0.1710064786206742,-4.263778831443759
66,67,39.45886026320377,-0.3367982630402228,67,0.07901160309875328,0.09300886272832382,-0.6062888458076356
67,68,39.46280327868023,-0.3417332778594022,68,0.06011455159226977,0.0697293170325814,0.29277415944287344
68,69,39.46195227384504,-0.3387212679875118,69,0.15468935542599613,0.18748551484417836,-12.018821583846892
69,70,39.46921322131946,-0.3716462894107889,70,0.2446908854848504,0.27059102471607815,-35.7120821996318
70,71,39.46038026686525,-0.3335312512230816,71,0.4086389093415708,0.4443676621853984,-191.77706552027644
71,72,39.4672572011624,-0.3464462819621424,72,0.07419197230084923,0.08688835903181723,-0.4915037603770729
72,73,39.4662592905475,-0.3428792786496773,73,0.07266484612450096,0.07899024720968985,-6.046918574209409
73,74,39.469949307546806,-0.3537343124957471,74,0.07580357122339913,0.09068095561671745,-0.15242544278812242
74,75,39.472113313853896,-0.3517013042029511,75,0.3570206966213941,0.36855393623468075,-7.884360721124228
75,76,39.47008330347364,-0.343461277578989,76,0.2644065514534549,0.3042982944044151,-3.4446776949169315
76,77,39.48497336307338,-0.3656673419583549,77,0.08041468726513289,0.09685947890156738,-4.19605094632299
77,78,39.46994531050937,-0.358688329939162,78,0.06601510974647629,0.08587132126351539,-1.2592324881660195
78,79,39.4727793187067,-0.357242322435451,79,0.03884677919072108,0.04783715138466354,0.31348208422023505
79,80,39.47374232444908,-0.3622983394473602,80,0.1086657884681375,0.13174615494907188,-5.2236431910272385
80,81,39.47512832851177,-0.3609783335465967,81,0.22887697268857832,0.26955081357452265,-7.173984623602294
81,82,39.47605634238628,-0.3839144104057024,82,0.06276183140237264,0.0811782501801045,0.12134555969284844
82,83,39.47758533929587,-0.3669703519914759,83,0.19323474981341227,0.2365728076739241,-2.4714006890179965
83,84,39.46712309239452,-0.3352259768659084,84,0.14016987549138618,0.1809936958074224,-1.1227649213475281
84,85,39.479464345022826,-0.3647153422684407,85,0.11318636196589056,0.13556817190677573,-3.811058687767134
85,86,39.4552402764855,-0.3911934519157556,86,0.18439801054037327,0.21052824584669708,-57.021713555430715
86,87,39.47851834019109,-0.3618803335785998,87,0.27519158081820916,0.31309106017357713,-1.6785236263487926
87,88,39.47751233609685,-0.3611423324837735,88,0.15738165765263898,0.20208472397857377,-29.157466337597327
88,89,39.47780233689744,-0.3593183259089267,89,0.2171572926812264,0.22980893621324566,-16.32773233515163
89,90,39.47673433298103,-0.3589673254467337,90,0.15693100523352707,0.18311160180884115,-7.157634053217217
90,91,39.44412522887422,-0.3675733796970313,91,0.31164679677018514,0.3410628380272708,-138.58863137986012
91,92,39.47586032883543,-0.355968315835597,92,0.09588144923170894,0.13395412494021397,-2.9752213734519635
92,93,39.47228231067077,-0.343809277423822,93,0.13404725906958917,0.1531918498505195,-2.9226596297964123
93,94,39.47537832465668,-0.3515833014492605,94,0.059287432122275885,0.08472791650881951,-1.3494319463028877
94,95,39.47983533734356,-0.3461192793966847,95,0.20887113551654227,0.2489663106890642,-0.5314507717875401
95,96,39.47355431688417,-0.3482142912637639,96,0.1068517401862984,0.12180530424994102,-0.4630110826642677
96,97,39.47306831276613,-0.3431322739648798,97,0.10339093097523973,0.1263835052144042,-0.8463479222608776
97,98,39.469680303996114,-0.348442294427372,98,0.2224646211739553,0.28490245448539564,-0.022905032176746554
98,99,39.47134430635022,-0.3404842660990001,99,0.05481110931350732,0.061498255018222286,-0.18312499583577124
99,100,39.47163430564687,-0.3381502585344567,100,0.18590304081392803,0.21908807616404227,-0.5541181016044092
